chapter;paragraph;kind;action;before;after
8;38;UNBALANCED_QUOTE;CLOSE_QUOTE;"e ses pupilles dilatées, Garcia vit l'horreur absolue. « Je ne le dirai pas. Si je le dis.";"ses pupilles dilatées, Garcia vit l'horreur absolue. « Je ne le dirai pas. Si je le dis. »"
15;2;TRUNCATED_STEM;CUT_TO_LAST_SENTENCE;"e pas attirer l'attention des autres clients qui regardaient leur propre verre ou la télé.";"« On m'a dit que vous aviez des comptes à régler avec le gardien », dit Garcia."
16;15;UNBALANCED_QUOTE;CLOSE_QUOTE;"que chose de similaire. Une boîte que je n'ai pas. Je ne prends pas de somnifères, Garcia.";"e chose de similaire. Une boîte que je n'ai pas. Je ne prends pas de somnifères, Garcia. »"
20;35;UNBALANCED_QUOTE;CLOSE_QUOTE;"« Parce que la mer ne pardonne pas.";"« Parce que la mer ne pardonne pas. »"
21;15;UNBALANCED_QUOTE;CLOSE_QUOTE;" est là. En bas. » Yvon désigna la porte d'entrée de la maison. « Elle a refusé de partir.";"st là. En bas. » Yvon désigna la porte d'entrée de la maison. « Elle a refusé de partir. »"
21;16;UNBALANCED_QUOTE;CLOSE_QUOTE;"é mécanique, comme un métronome qui marque le temps qui s'écoule et qui ne reviendra plus.";"é mécanique, comme un métronome qui marque le temps qui s'écoule et qui ne reviendra plus."
22;42;TRUNCATED_STEM;CUT_TO_LAST_SENTENCE;" vers Garcia, et dans la lueur vacillante de la bougie, ses traits semblent s'être durcis.";"Léna essuie ses mains sur son tablier, les posant à plat sur le bord de l'évier."
26;9;UNBALANCED_QUOTE;CLOSE_QUOTE;" « Le gardien, c'est l'homme qui a été tué. L'homme qu'on a retrouvé dans le soubassement.";" Le gardien, c'est l'homme qui a été tué. L'homme qu'on a retrouvé dans le soubassement. »"
26;34;UNBALANCED_QUOTE;CLOSE_QUOTE;" porta, brisant le mutisme de la pièce. « Je n'ai rien vu de plus ! J'ai entendu un bruit.";"orta, brisant le mutisme de la pièce. « Je n'ai rien vu de plus ! J'ai entendu un bruit. »"
33;24;UNBALANCED_QUOTE;CLOSE_QUOTE;" ne semblez pas vouloir entendre. » Il se tourna vers Gaspard. « Où étiez-vous exactement.";"e semblez pas vouloir entendre. » Il se tourna vers Gaspard. « Où étiez-vous exactement. »"
33;35;UNBALANCED_QUOTE;CLOSE_QUOTE;"i. Il fit un pas vers Garcia, le visage rouge de colère contenue. « Vous êtes un étranger.";" Il fit un pas vers Garcia, le visage rouge de colère contenue. « Vous êtes un étranger. »"
37;41;UNBALANCED_QUOTE;CLOSE_QUOTE;"êta, cherchant ses mots dans le brouillard de sa mémoire. « Le jour où Jean-Paul est mort.";"a, cherchant ses mots dans le brouillard de sa mémoire. « Le jour où Jean-Paul est mort. »"
40;15;UNBALANCED_QUOTE;CLOSE_QUOTE;"« Je veux dire que le gardien ne voulait plus se taire.";"« Je veux dire que le gardien ne voulait plus se taire. »"
44;48;UNBALANCED_QUOTE;CLOSE_QUOTE;"s choisi d'oublier. Tu as choisi de devenir le maire, de devenir le protecteur du village.";"choisi d'oublier. Tu as choisi de devenir le maire, de devenir le protecteur du village. »"
46;9;UNBALANCED_QUOTE;CLOSE_QUOTE;"yure de couteau. Spécifique. Celle d'un couteau de marin, avec un manche en os de baleine.";"re de couteau. Spécifique. Celle d'un couteau de marin, avec un manche en os de baleine. »"
47;23;UNBALANCED_QUOTE;CLOSE_QUOTE;"écouvert que le fils de Squarcioni, celui qui est mort dans le naufrage, n'était pas mort.";"ouvert que le fils de Squarcioni, celui qui est mort dans le naufrage, n'était pas mort. »"
47;35;UNBALANCED_QUOTE;CLOSE_QUOTE;"ai fils n'est pas mort. Il a tué le gardien. Il a tué celui qui savait qu'il était vivant.";" fils n'est pas mort. Il a tué le gardien. Il a tué celui qui savait qu'il était vivant. »"
48;4;UNBALANCED_QUOTE;CLOSE_QUOTE;"t mort. Personne ne l'a vu. Personne ne l'a entendu. Et maintenant, vous vous taisez tous.";"mort. Personne ne l'a vu. Personne ne l'a entendu. Et maintenant, vous vous taisez tous. »"
48;7;UNBALANCED_QUOTE;CLOSE_QUOTE;"— Parce que la vérité est un couteau, » dit Léna.";"— Parce que la vérité est un couteau, dit Léna."
50;13;UNBALANCED_QUOTE;CLOSE_QUOTE;"oie. Parce que je savais que si je le faisais, ça ne servirait à rien. Le village se tait.";"e. Parce que je savais que si je le faisais, ça ne servirait à rien. Le village se tait. »"
50;35;UNBALANCED_QUOTE;CLOSE_QUOTE;"« Du naufrage », dit Yvon simplement. « Le navire de marchandises.";"« Du naufrage », dit Yvon simplement. « Le navire de marchandises. »"
