path,kind,status,evidence
scripts/,dir,ACTIVE_RUNTIME,"last commit 2026-06-04; scripts/metrology/*.py = forge+judge+radar calling Ollama (forge_length_enforced.py:26)"
docs/,dir,ACTIVE_RUNTIME,"2026-06-05; SSOT docs per EMP-15; LEGION/research written now"
omega-autopsie/,dir,ACTIVE_RUNTIME,"2026-06-04; Rosetta bench JSON modified in working tree; full_work_analyzer_v4.py"
nexus/,dir,ACTIVE_RUNTIME,"nexus/proof = SSOT per EMP-15"
gateway/,dir,ACTIVE_RUNTIME,"2026-05-26; gateway/cli-runner backs bin/omega-pipe.mjs (omega analyze)"
gateway/src/memory/memory_layer_nasa/,dir,ORPHAN,"38 files certified; 0 importer (V1); offload not exported (V2); doc says World Model ACTIF = CONTRADICTED"
gateway/src/gates/canon_engine.ts,file,ORPHAN,"407 lines; 0 prod caller; NCR_CANON_ENGINE_JUNCTION_ORPHAN.md"
gateway/sentinel/,dir,FROZEN,"Phase 27 FROZEN per CLAUDE.md / FROZEN_MODULES.md"
src/,dir,DORMANT,"2026-03-29; src/runner backs bin/omega-run.mjs but pipeline is MOCK (pipeline.ts:167,197,234)"
src/canon/,dir,ACTIVE_RUNTIME,"claims+lineage canon; consumed by src/gates only (test layer); 12 tests/canon/*"
bin/,dir,ACTIVE,"2026-01-28; 2 thin entrypoints delegating elsewhere"
tools/,dir,DORMANT,"2026-05-31; touched but not on verified gen path"
deposit/,dir,DORMANT,"export artifact tree; duplicate of src/canon under deposit/confidential/"
omega/,dir,DORMANT,"2026-05-29"
apps/,dir,DORMANT,"omega-ui bootstrap 2026-05-26"
src-tauri/,dir,GARAGE,"desktop shell experiment, 2026-01..02"
packages/,dir,MIXED,"45 subpackages - see 01b table below"
OMEGA_PHASE12,dir,SNAPSHOT,"phase-frozen 2026-01"
OMEGA_PHASE13A,dir,SNAPSHOT,"phase-frozen 2026-01"
OMEGA_PHASE14,dir,SNAPSHOT,"phase-frozen 2026-01; worker_manager.ts (real daemon, legacy)"
OMEGA_PHASE18_MEMORY,dir,SNAPSHOT,"canon-store + context-tracker + intent-lock; orphan prototype"
OMEGA_PHASE19_PERSIST,dir,SNAPSHOT,"phase-frozen"
OMEGA_PHASE20_INTEGRATION,dir,SNAPSHOT,"canon-store + memory-service; orphan prototype"
OMEGA_PHASE20_1_MEMORY_HOOK,dir,SNAPSHOT,"lifecycle memory hook; orphan"
