path,line,column,tag,text
"INDEX_DOSSIER_MASTER_v2_0.md",66,3,"TODO","- TODO/FIXME analysis"
"INDEX_DOSSIER_MASTER_v2_0.md",119,3,"UNKNOWN","- TODO_DISCREPANCY_REPORT.md"
"INSTRUCTIONS_LANCEMENT_URANIUM_v1.1.md",151,5,"TODO","- 0 TODO/FIXME"
"INSTRUCTIONS_LANCEMENT_URANIUM_v1.1.md",192,30,"XXX","git commit -m ""feat(phase[XXX]): [description] [tests: N pass]"""
"INSTRUCTIONS_LANCEMENT_URANIUM_v1.1.md",195,19,"XXX","git tag -a v3.[XXX].0 -m ""Phase [XXX]"""
"INSTRUCTIONS_LANCEMENT_URANIUM_v1.1.md",202,30,"XXX","git commit -m ""save(phase[XXX]): session + seal"""
"nexus/genesis/IA_CONSUMPTION_FLOW.md",230,18,"UNKNOWN","║   ""Selon ENT-XXXXXX-NNNN..."" → CORRECT                                        ║"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",894,8,"TODO","## 5.3 TODO/FIXME Analysis"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",898,11,"TODO","| Scope | TODO Count | Description |"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",911,7,"TODO","║   TODO DISCREPANCY EXPLAINED                                                  ║"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",913,43,"TODO","║   Scan-scope (6 modules TS):      178 TODO                                   ║"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",914,44,"TODO","║   Full repo (All TS):             1390 TODO                                   ║"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",915,45,"TODO","║   Écart:                          1212 TODO                                   ║"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",918,16,"TODO","║   Les 1212 TODO sont dans:                                                    ║"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",920,31,"TODO","║   - Documentation MD (162 TODO)                                               ║"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",923,56,"TODO","║   Conclusion: Scan-scope affirme correctement ""178 TODO""                     ║"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",1291,10,"TODO","║   2. TODO Count (178 en scan-scope)                                           ║"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",1352,58,"TODO","║   Moyen  │                           ◆ Résorber TODO                          ║"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",1359,20,"TODO","║   Priorité 2: TODO (Long terme - impact moyen, effort élevé)                 ║"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",1385,23,"TODO","║   3. Résorber 50 TODO prioritaires                         Effort: L         ║"
"nexus/proof/audit/OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md",1462,14,"TODO","| **Trier 50 TODO critiques** | P2 | 2h | Cette semaine |"
"nexus/proof/audit/SITUATION_FINALE_RECAP.md",25,44,"TODO","5. **Qualité & Couverture** — Coverage, TODO, tableaux"
"nexus/proof/audit/SITUATION_FINALE_RECAP.md",119,4,"TODO","2. TODO — 178 en scan-scope (à résorber)"
"nexus/proof/audit/SITUATION_FINALE_RECAP.md",127,21,"TODO","4. ✅ Résorber 50 TODO critiques"
"nexus/proof/audit/SITUATION_FINALE_RECAP.md",161,3,"TODO","- TODO/FIXME analysis"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",26,38,"UNKNOWN","| Module | Files | Exports | Tests | TODOs | Status |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",51,11,"UNKNOWN","│ TOTAL_TODOS          │ 0      │"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",52,11,"UNKNOWN","│ TOTAL_FIXME          │ 0      │"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",53,11,"UNKNOWN","│ TOTAL_HACK           │ 0      │"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",88,3,"TODO","| TODO | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",89,3,"FIXME","| FIXME | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",90,3,"HACK","| HACK | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",222,16,"TODO","### Métriques TODO"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",226,3,"UNKNOWN","| TODO_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",227,3,"UNKNOWN","| FIXME_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",228,3,"UNKNOWN","| HACK_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",310,16,"TODO","### Métriques TODO"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",314,3,"UNKNOWN","| TODO_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",315,3,"UNKNOWN","| FIXME_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",316,3,"UNKNOWN","| HACK_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",417,16,"TODO","### Métriques TODO"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",421,3,"UNKNOWN","| TODO_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",422,3,"UNKNOWN","| FIXME_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",423,3,"UNKNOWN","| HACK_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",518,16,"TODO","### Métriques TODO"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",522,3,"UNKNOWN","| TODO_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",523,3,"UNKNOWN","| FIXME_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",524,3,"UNKNOWN","| HACK_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",621,16,"TODO","### Métriques TODO"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",625,3,"UNKNOWN","| TODO_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",626,3,"UNKNOWN","| FIXME_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",627,3,"UNKNOWN","| HACK_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",712,16,"TODO","### Métriques TODO"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",716,3,"UNKNOWN","| TODO_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",717,3,"UNKNOWN","| FIXME_COUNT | 0 |"
"nexus/proof/scan-freeze-20260119/OMEGA_SCAN_RAPPORT_CONSOLIDE.md",718,3,"UNKNOWN","| HACK_COUNT | 0 |"
"nexus/proof/todo-scan-20260119-165002/RUN_COMMANDS.txt",1,3,"TODO","# TODO SCAN COMMANDS - 2026-01-19"
"nexus/proof/todo-scan-20260119-165002/RUN_COMMANDS.txt",11,47,"TODO","rg -n --no-heading --with-filename --column ""(TODO|FIXME|HACK|XXX)"" . \"
"nexus/tooling/test/hash.test.js",103,45,"XXX","assert.throws(() => getCanonicalPath('XXX-20260112-0001', '.'));"
"OMEGA_HISTORY.md",215,44,"TODO","| 8 | ORACLE | Prédiction narrative | ⚪ TODO |"
"OMEGA_HISTORY.md",216,45,"TODO","| 9 | QUANTUM | Branches alternatives | ⚪ TODO |"
"OMEGA_HISTORY.md",217,44,"TODO","| 10 | UI/UX | Interface utilisateur | ⚪ TODO |"
"OMEGA_MASTER_DOSSIER_v3.83.0/03_INVARIANTS/INVARIANTS_REGISTRY.md",194,27,"TODO","| **INV-HARD-05** | Aucun TODO/FIXME en production | MEDIUM | Code review | ✅ |"
"OMEGA_MASTER_DOSSIER_v3.83.0/05_CERTIFICATIONS/CERTIFICATION_PHASE_11.md",82,23,"TODO","| INV-HARD-05 | Aucun TODO/FIXME en production | Code review | ✅ PROUVÉ |"
"OMEGA_MASTER_DOSSIER_v3.83.0/05_CERTIFICATIONS/CERTIFICATION_PHASE_12.md",201,33,"TODO","- [x] Aucune dette technique (0 TODO/FIXME)"
"OMEGA_MASTER_DOSSIER_v3.83.0/06_CONCEPTS/CNC-102-OMEGA_PRAXIS.md",55,38,"XXX","RÃ¨gle: UN concept = UNE fiche CNC-XXX"
"OMEGA_MASTER_DOSSIER_v3.83.0/06_CONCEPTS/CNC-102-OMEGA_PRAXIS.md",58,18,"XXX","- ID unique (CNC-XXX)"
"OMEGA_MASTER_DOSSIER_v3.83.0/06_CONCEPTS/CNC-102-OMEGA_PRAXIS.md",74,68,"XXX","RÃ¨gle: Chaque Ã©vÃ©nement significatif = une entrÃ©e HLOG-XXX"
"OMEGA_MASTER_DOSSIER_v3.83.0/06_CONCEPTS/CNC-102-OMEGA_PRAXIS.md",77,19,"XXX","- ID unique (HLOG-XXX)"
"OMEGA_MASTER_DOSSIER_v3.83.0/06_CONCEPTS/CNC-300-MEMORY_LAYER.md",370,66,"UNKNOWN","║   5. STRINGS : Échappement JSON standard (\n, \t, \"", \\, \uXXXX)                     ║"
"OMEGA_MASTER_DOSSIER_v3.83.0/07_SESSION_SAVES/SESSION_SAVE_PHASE_11.md",152,23,"TODO","| INV-HARD-05 | Aucun TODO/FIXME en production | ✅ PROUVÉ |"
"OMEGA_MASTER_DOSSIER_v3.83.0/07_SESSION_SAVES/SESSION_SAVE_PHASE_12.md",122,31,"TODO","- [x] Aucune dette technique (TODO/FIXME)"
"OMEGA_MASTER_DOSSIER_v3.83.0/08_GOVERNANCE/POLICY_v9.1.md",58,5,"TODO","- TODO"
"OMEGA_MASTER_DOSSIER_v3.83.0/08_GOVERNANCE/POLICY_v9.1.md",59,5,"FIXME","- FIXME"
"OMEGA_MASTER_DOSSIER_v3.83.0/09_HISTORY/OMEGA_HISTORY.md",215,44,"TODO","| 8 | ORACLE | Prédiction narrative | ⚪ TODO |"
