chapter;paragraph;kind;action;before;after
1;9;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"nchit la porte. Elle s'engouffre dans l'escalier en colimaçon, étroit, sombre. Elle monte,";"nchit la porte. Elle s'engouffre dans l'escalier en colimaçon, étroit, sombre. Elle monte."
1;21;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Elle s'arrête à trois mètres du fauteuil. Elle peut voir";"Elle s'arrête à trois mètres du fauteuil. Elle peut voir."
2;35;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Au premier étage, le couloir était sombre. Elle s'arrêta, la main tendue";"Au premier étage, le couloir était sombre. Elle s'arrêta, la main tendue."
2;51;DANGLING_FRAGMENT;CUT_TO_LAST_SENTENCE;"— Yvon ! s";"— Yvon !"
3;15;UNTERMINATED_BLOCK;CUT_TO_LAST_SENTENCE;"orte de la mairie trois jours plus tôt. Il avait demandé à voir les archives du phare. Les";"la porte de la mairie trois jours plus tôt. Il avait demandé à voir les archives du phare."
3;26;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Léna ouvrit";"Léna ouvrit."
3;37;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"bre. « Le gardien ne descendait pas pour rien. Il venait vérifier. Il venait s'assurer que";" : une clé rouillée, à peine plus grande qu'un ongle. Léna le vit briller sous la lumière."
4;15;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"lettre trouvée dans une poche, ce n'était pas un drame. Mais le ton de Garcia, le regard f";" suite. Une lettre trouvée dans une poche, ce n'était pas un drame. Mais le ton de Garcia."
4;32;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"e papier comme ça dans ce village. Pas depuis des années. C'est un type de papier importé,";"e papier comme ça dans ce village. Pas depuis des années. C'est un type de papier importé."
4;39;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"e qui donnait sur le quai désert. Dehors, la nuit était si dense que les vagues semblaient";" qui donnait sur le quai désert. Dehors, la nuit était si dense que les vagues semblaient."
5;9;DANGLING_FRAGMENT;REMOVE_FALSE_START;"Yvon hocha lentement la";"(retiré — tracé)"
5;23;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"« Qui ? » demanda-t-elle,";"« Qui ? » demanda-t-elle."
6;17;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"assant sous ses doigts. Elle feuilleta les pages, cherchant une anomalie, une ligne qui ne";"pier était sec, cassant sous ses doigts. Elle feuilleta les pages, cherchant une anomalie."
6;39;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"dans une position impossible, revenait frapper son esprit. Les enquêteurs avaient parlé de";"en, retrouvé étendu dans le couloir du phare, le corps tordu dans une position impossible."
6;51;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"ernité. L'odeur du goudron semblait s'intensifier, envahissant ses poumons, lui coupant le";"devenant une éternité. L'odeur du goudron semblait s'intensifier, envahissant ses poumons."
7;15;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"Il semblait plus grand, plus lourd, comme s'il portait le poids de toute la rive nord de l";"t pour une bonne raison. » Gaspard se leva, lentement. Il semblait plus grand, plus lourd."
7;30;DANGLING_FRAGMENT;STYLED_DIALOGUE_OK;"— On attend que la vérité nous force à";"— On attend que la vérité nous force à"
7;47;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"— On part, dit-il";"— On part, dit-il."
8;16;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"ait retiré son chapeau, laissant voir son front plissé, marqué par les rides de la peur et";"qu'ils l'aient entendu venir. Il avait retiré son chapeau, laissant voir son front plissé."
8;29;UNTERMINATED_BLOCK;REMOVE_TRUNCATED_FRAGMENT;"Le";"(retiré — tracé)"
8;39;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"it l'horreur absolue. « Je ne le dirai pas. Si je le dis, il sait que je le sais. Et il vi";"e ses pupilles dilatées, Garcia vit l'horreur absolue. « Je ne le dirai pas. Si je le dis."
9;19;DANGLING_FRAGMENT;CUT_TO_LAST_SENTENCE;"Garcia regarda de nouveau la photo. La lumière du";"Garcia regarda de nouveau la photo."
9;54;DANGLING_FRAGMENT;REMOVE_TRUNCATED_FRAGMENT;"Garcia ouvrit les";"(retiré — tracé)"
