id,titre,auteur,langue,categorie,source,PVI,proba,verdict,FL,I,Omega,T,MS,U,N_rev,justification_selection
P5-01,It Ends with Us,Colleen Hoover,en,bestseller,scoring_2022_2025,2.034,0.807,PASS,0.143,0.819,0.80,0.75,0.814,0.65,2,PASS fort proba>0.75 — bestseller EN massif
P5-02,Still See You Everywhere,Lisa Gardner,en,bestseller,scoring_2022_2025,1.513,0.789,PASS,0.206,0.964,0.72,0.75,0.839,0.65,2,PASS fort — I tres eleve (0.96)
P5-03,Beach Read,Emily Henry,en,bestseller,scoring_2022_2025,1.501,0.772,PASS,0.189,0.832,0.78,0.75,0.841,0.65,2,PASS fort — romance bestseller contemporain
P5-04,Millenium 1 (FR),Stieg Larsson,fr,bestseller,test_set_gele,1.941,0.780,PASS,0.256,0.750,0.82,0.80,0.650,0.92,4,Label=1 dans test set — thriller FR bestseller
P5-05,Stupeur et tremblements,Amelie Nothomb,fr,bestseller,test_set_gele,1.457,0.756,PASS,0.299,0.800,0.72,0.72,0.700,0.82,2,Label=1 — autofiction FR bestseller Goncourt
P5-06,Serge,Yasmina Reza,fr,niche,scoring_2022_2025,0.007,0.130,FAIL,0.895,0.026,0.60,0.75,0.753,0.65,2,FAIL net proba=0.13 — FL catastrophique (0.895)
P5-07,Aneantir,Michel Houellebecq,fr,niche,scoring_2022_2025,0.106,0.262,FAIL,0.255,0.079,0.58,0.75,0.899,0.65,2,FAIL net — I tres faible (0.08)
P5-08,Vivre vite,Brigitte Giraud,fr,niche,scoring_2022_2025,0.109,0.274,FAIL,0.270,0.153,0.60,0.75,0.876,0.65,2,FAIL net — Goncourt 2022 echec PVI
P5-09,Naked Lunch,William S. Burroughs,en,niche,test_set_gele,0.021,0.050,FAIL,0.700,0.280,0.20,0.48,0.720,0.78,1,Label=0 — experimental extreme FL=0.70
P5-10,Vertigo,W.G. Sebald,en,niche,test_set_gele,0.068,0.065,FAIL,0.480,0.400,0.35,0.68,0.850,0.72,1,Label=0 — prose hybride essai/fiction
P5-11,Intermezzo,Sally Rooney,en,borderline,scoring_2022_2025,0.774,0.512,BORDER,0.173,0.567,0.62,0.75,0.820,0.65,2,Proba=0.512 — signal ambigu roman contemporain
P5-12,All Fours,Miranda July,en,borderline,scoring_2022_2025,1.079,0.587,BORDER,0.172,0.774,0.55,0.75,0.843,0.65,2,Proba=0.587 — Omega faible (0.55) malgre I eleve
P5-13,Fourth Wing (FR),Rebecca Yarros,fr,borderline,scoring_2022_2025,0.578,0.514,BORDER,0.277,0.459,0.72,0.75,0.838,0.65,2,BORDER FR — traduction qui perd en I
P5-14,Jacaranda,Gael Faye,fr,borderline,scoring_2022_2025,0.349,0.445,FAIL,0.275,0.380,0.65,0.75,0.859,0.65,2,Proba=0.445 zone grise — Renaudot 2024
P5-15,L'Instant present,Guillaume Musso,fr,borderline,scoring_2022_2025,0.348,0.483,FAIL,0.324,0.406,0.75,0.75,0.862,0.65,2,Proba=0.483 — Musso sous-score malgre succes commercial
P5-16,Triste tigre,Neige Sinno,fr,adversarial,scoring_2022_2025,0.348,0.374,FAIL,0.224,0.389,0.55,0.75,0.868,0.65,2,Autofiction trauma — protagoniste = auteure distanciee. Omega/I difficiles a juger.
P5-17,La Modification,Michel Butor,fr,adversarial,test_set_gele,0.117,0.180,FAIL,0.269,0.450,0.45,0.58,0.780,0.72,1,Narration 2e personne — qui est le protagoniste ? Fin ouverte.
P5-18,Lolita,Vladimir Nabokov,en,adversarial,test_set_gele,0.343,0.205,FAIL,0.903,0.550,0.58,0.78,0.920,0.90,2,Narrateur non fiable moralement complexe — I et U tres subjectifs.
P5-19,The Turn of the Screw,Henry James,en,adversarial,test_set_gele,0.500,0.285,FAIL,0.450,0.580,0.55,0.72,0.820,0.80,2,Fin ambigue celebre — Omega extremement subjectif.
P5-20,Heart of Darkness,Joseph Conrad,en,adversarial,test_set_gele,0.410,0.225,FAIL,0.480,0.520,0.55,0.75,0.850,0.82,2,Narration enchassee (Marlow) — protagoniste ambigu (Marlow ou Kurtz ?)
