chapter;blockIndex;reason;text
1;0;MARKUP_TAG;"— Présenter Léna Marchetti et le monde ordinaire ; amorcer le ton (sobre, tendu, sensoriel). [rythme-compresse]"
2;0;MARKUP_TAG;"— Acte 1 : planter l'indice (seed-lettre) ; complication / fausse piste. [rythme-compresse]"
3;0;MARKUP_TAG;"— Acte 1 : progression vers la résolution. [voix-seche]"
4;0;MARKUP_TAG;"— Acte 1 : progression vers la résolution. [tension-interne]"
5;0;MARKUP_TAG;"— Acte 1 : progression vers la résolution. [tension-interne]"
6;0;MARKUP_TAG;"— Acte 1 : progression vers la résolution. [tension-interne]"
7;0;MARKUP_TAG;"— Acte 1 : progression vers la résolution. [sensoriel]"
8;0;MARKUP_TAG;"— Acte 1 : progression vers la résolution. [canon-strict]"
9;0;MARKUP_TAG;"— Acte 1 : progression vers la résolution. [canon-strict]"
10;0;MARKUP_TAG;"— Incident déclencheur : poser la question centrale — « Qui a tué le gardien, et pourquoi le village se tait-il ? ». [canon-strict]"
11;0;MARKUP_TAG;"— Acte 2 : planter l'indice (seed-dette) ; complication / fausse piste. [tension-interne]"
12;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [synthese]"
13;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [voix-seche]"
14;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [sensoriel]"
15;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [synthese]"
16;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [canon-strict]"
17;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [rythme-compresse]"
18;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [sensoriel]"
19;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [voix-seche]"
20;0;MARKUP_TAG;"— Acte 2 : planter l'indice (seed-naufrage) ; complication / fausse piste. [canon-strict]"
21;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [rythme-compresse]"
22;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [voix-seche]"
23;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [rythme-compresse]"
24;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [voix-seche]"
25;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [canon-strict]"
26;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [tension-interne]"
27;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [dialogue]"
28;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [rythme-compresse]"
29;0;MARKUP_TAG;"— Acte 2 : planter l'indice (seed-identite) ; complication / fausse piste. [synthese]"
30;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [dialogue]"
31;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [dialogue]"
32;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [canon-strict]"
33;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [synthese]"
34;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [canon-strict]"
35;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [voix-seche]"
36;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [synthese]"
37;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [voix-seche]"
38;0;MARKUP_TAG;"— Acte 2 : avancer l'enquête ; approfondir un personnage ; relancer la tension. [canon-strict]"
39;0;MARKUP_TAG;"— Acte 3 : faire éclater l'indice (seed-lettre) ; converger. [tension-interne]"
40;0;MARKUP_TAG;"— Acte 3 : faire éclater l'indice (seed-dette) ; converger. [rythme-compresse]"
41;0;MARKUP_TAG;"— Acte 3 : progression vers la résolution. [voix-seche]"
42;0;MARKUP_TAG;"— Acte 3 : faire éclater l'indice (seed-naufrage) ; converger. [synthese]"
43;0;MARKUP_TAG;"— Acte 3 : progression vers la résolution. [synthese]"
44;0;MARKUP_TAG;"— Climax : révélation centrale qui répond à « Qui a tué le gardien, et pourquoi le village se tait-il ? ». [voix-seche]"
45;0;MARKUP_TAG;"— Acte 3 : progression vers la résolution. [rythme-compresse]"
46;0;MARKUP_TAG;"— Acte 3 : progression vers la résolution. [sensoriel]"
47;0;MARKUP_TAG;"— Acte 3 : progression vers la résolution. [tension-interne]"
48;0;MARKUP_TAG;"— Acte 3 : progression vers la résolution. [sensoriel]"
49;0;MARKUP_TAG;"— Acte 3 : progression vers la résolution. [tension-interne]"
50;0;MARKUP_TAG;"— Dénouement : refermer les fils, retombée émotionnelle. [synthese]"
